id_FallAssessment,id_block_plot_sp_h2o,block,plot,tree,location,sp,h2o,bd_mm,ba_mm2,ba_cm2,ba_m2,ba_m2_m2,ba_m2_ha,ht_cm,status6_live_dead,lbio,agbio,wbio
22QURU,22QURUL,2,2,F2,C,QURU,L,34.66,943.51,9.44,0.00094351327224,0.00023587831806,2.3588,282,alive,211.68,826.43,614.748835849103
22QURU,22QURUL,2,2,F3,C,QURU,L,30.64,737.34,7.37,0.00073734105984,0.00018433526496,1.8434,283,alive,167.17,611.73,444.557201500728
22QURU,22QURUL,2,2,F4,C,QURU,L,21.92,377.37,3.77,0.00037737401856,9.434350464E-05,0.9434,183,alive,88.05,270.18,182.13378960475
22QURU,22QURUL,2,2,F5,C,QURU,L,35.67,999.30,9.99,0.00099930282606,0.000249825706515,2.4983,344,alive,223.64,886.43,662.783655817328
22QURU,22QURUL,2,2,F6,C,QURU,L,27.65,600.46,6.00,0.0006004559715,0.000150113992875,1.5011,282,alive,137.34,476.15,338.815179546701
24LALA,24LALAL,2,4,B2,C,LALA,L,46.25,1680.02,16.80,0.0016800196875,0.000420004921875,4.2000,459,alive,300.90,1122.32,821.413426184254
24LALA,24LALAL,2,4,B3,C,LALA,L,22.18,386.38,3.86,0.00038637941496,9.659485374E-05,0.9659,203,alive,60.74,151.90,91.1607254653681
24LALA,24LALAL,2,4,B4,C,LALA,L,38.52,1165.37,11.65,0.00116536898016,0.00029134224504,2.9134,401,alive,202.06,682.27,480.219123797355
24LALA,24LALAL,2,4,B5,C,LALA,L,44.44,1551.10,15.51,0.00155109714144,0.00038777428536,3.8777,413,alive,275.85,1006.77,730.921884401956
24LALA,24LALAL,2,4,B6,C,LALA,L,44.76,1573.52,15.74,0.00157351559904,0.00039337889976,3.9338,399,alive,280.19,1026.62,746.43009174176
24LALA,24LALAL,2,4,C2,C,LALA,L,41.24,1335.76,13.36,0.00133575931104,0.00033393982776,3.3394,353,alive,234.42,821.49,587.070867323902
24LALA,24LALAL,2,4,C3,C,LALA,L,26.68,559.07,5.59,0.00055906531296,0.00013976632824,1.3977,336,alive,90.81,251.12,160.306681633422
24LALA,24LALAL,2,4,C4,C,LALA,L,47.12,1743.82,17.44,0.00174381922176,0.00043595480544,4.3595,380,alive,313.37,1180.71,867.340977747878
24LALA,24LALAL,2,4,C5,C,LALA,L,28.89,655.52,6.56,0.00065552005134,0.000163880012835,1.6388,325,alive,108.00,311.84,203.849657772361
24LALA,24LALAL,2,4,C6,C,LALA,L,35.71,1001.55,10.02,0.00100154530014,0.000250386325035,2.5039,370,alive,171.33,555.18,383.846372762106
24LALA,24LALAL,2,4,D2,C,LALA,L,40.34,1278.09,12.78,0.00127809367224,0.00031952341806,3.1952,417,alive,223.42,773.61,550.189404778863
24LALA,24LALAL,2,4,D3,C,LALA,L,34.76,948.97,9.49,0.00094896551904,0.00023724137976,2.3724,338,alive,161.56,515.90,354.335896363428
24LALA,24LALAL,2,4,D4,C,LALA,L,23.45,431.89,4.32,0.0004318934235,0.000107973355875,1.0797,303,alive,68.57,176.75,108.184207125866
24LALA,24LALAL,2,4,D5,C,LALA,L,25.89,526.45,5.26,0.00052644741534,0.000131611853835,1.3161,282,alive,85.06,231.39,146.336153355898
24LALA,24LALAL,2,4,D6,C,LALA,L,36.03,1019.58,10.20,0.00101957557086,0.000254893892715,2.5489,368,alive,174.69,568.82,394.129513645263
24LALA,24LALAL,2,4,E2,C,LALA,L,43.93,1515.70,15.16,0.00151570018446,0.000378925046115,3.7893,410,alive,269.00,975.64,706.634863586141
24LALA,24LALAL,2,4,E3,C,LALA,L,35.05,964.87,9.65,0.0009648658635,0.000241216465875,2.4122,419,alive,164.51,527.69,363.184162747221
24LALA,24LALAL,2,4,E4,C,LALA,L,34.1,913.27,9.13,0.000913270974,0.0002283177435,2.2832,347,alive,154.96,489.67,334.716554668076
24LALA,24LALAL,2,4,E5,C,LALA,L,34.05,910.59,9.11,0.0009105947235,0.000227648680875,2.2765,353,alive,154.46,487.72,333.259338896056
24LALA,24LALAL,2,4,E6,C,LALA,L,35.79,1006.04,10.06,0.00100603778814,0.000251509447035,2.5151,384,alive,172.17,558.57,386.400833817298
24LALA,24LALAL,2,4,F2,C,LALA,L,28.32,629.91,6.30,0.00062990839296,0.00015747709824,1.5748,288,alive,103.41,295.38,191.974170081775
24LALA,24LALAL,2,4,F3,C,LALA,L,32.35,821.94,8.22,0.0008219387715,0.000205484692875,2.0548,381,alive,138.16,424.26,286.104637846517
24LALA,24LALAL,2,4,F4,C,LALA,L,31.92,800.23,8.00,0.00080023337856,0.00020005834464,2.0006,354,alive,134.19,409.09,274.89986653747
24LALA,24LALAL,2,4,F5,C,LALA,L,30.98,753.80,7.54,0.00075379581816,0.00018844895454,1.8845,323,alive,125.74,377.13,251.395023815958
24LALA,24LALAL,2,4,F6,C,LALA,L,32.3,819.40,8.19,0.000819399966,0.0002048499915,2.0485,365,alive,137.70,422.48,284.786991438048
27BEPA,27BEPAL,2,7,B2,C,BEPA,L,25.78,521.98,5.22,0.00052198343736,0.00013049585934,1.3050,340,alive,98.68,340.00,241.320294703928
27BEPA,27BEPAL,2,7,B3,C,BEPA,L,17.95,253.06,2.53,0.0002530578435,6.3264460875E-05,0.6326,144,alive,46.93,146.55,99.625228229934
27BEPA,27BEPAL,2,7,B4,C,BEPA,L,33.87,900.99,9.01,0.00090099273726,0.000225248184315,2.2525,373,alive,172.81,641.25,468.432911239795
27BEPA,27BEPAL,2,7,B5,C,BEPA,L,43.26,1469.82,14.70,0.00146981923704,0.00036745480926,3.6745,419,alive,285.61,1132.59,846.982735163427
27BEPA,27BEPAL,2,7,B6,C,BEPA,L,24.45,469.51,4.70,0.0004695140835,0.000117378520875,1.1738,262,alive,88.51,300.60,212.097926304743
27BEPA,27BEPAL,2,7,C2,C,BEPA,L,30.51,731.10,7.31,0.00073109752254,0.000182774380635,1.8277,377,alive,139.45,502.98,363.525158825408
27BEPA,27BEPAL,2,7,C3,C,BEPA,L,41.71,1366.38,13.66,0.00136637930814,0.000341594827035,3.4159,411,alive,265.00,1040.49,775.489944979131
27BEPA,27BEPAL,2,7,C4,C,BEPA,L,15.34,184.82,1.85,0.00018481687224,4.620421806E-05,0.4620,116,alive,33.99,101.71,67.7213789678143
27BEPA,27BEPAL,2,7,C5,C,BEPA,L,18.38,265.33,2.65,0.00026532728376,6.633182094E-05,0.6633,304,alive,49.26,154.84,105.579175003112
27BEPA,27BEPAL,2,7,C6,C,BEPA,L,27.1,576.81,5.77,0.000576805614,0.0001442014035,1.4420,320,alive,109.33,381.85,272.516556777144
27BEPA,27BEPAL,2,7,D2,C,BEPA,L,0,0.00,0.00,0,0,0.0000,0,dead,0.00,0.00,0
27BEPA,27BEPAL,2,7,D3,C,BEPA,L,23.54,435.21,4.35,0.00043521495864,0.00010880373966,1.0880,345,alive,81.88,275.23,193.358415942448
27BEPA,27BEPAL,2,7,D4,C,BEPA,L,22.89,411.51,4.12,0.00041151197934,0.000102877994835,1.0288,289,alive,77.30,257.89,180.58743930757
27BEPA,27BEPAL,2,7,D5,C,BEPA,L,26.69,559.48,5.59,0.00055948448094,0.000139871120235,1.3987,317,alive,105.96,368.55,262.590179512445
27BEPA,27BEPAL,2,7,D6,C,BEPA,L,43.9,1513.63,15.14,0.001513630734,0.0003784076835,3.7841,398,alive,294.35,1171.93,877.574258737128
27BEPA,27BEPAL,2,7,E2,C,BEPA,L,21.71,370.18,3.70,0.00037017794814,9.2544487035E-05,0.9254,300,alive,69.34,228.03,158.691272593561
27BEPA,27BEPAL,2,7,E3,C,BEPA,L,27.2,581.07,5.81,0.000581070336,0.000145267584,1.4527,366,alive,110.16,385.13,274.970196066437
27BEPA,27BEPAL,2,7,E4,C,BEPA,L,31.7,789.24,7.89,0.000789240606,0.0001973101515,1.9731,379,alive,150.85,549.76,398.916890593845
27BEPA,27BEPAL,2,7,E5,C,BEPA,L,17.13,230.47,2.30,0.00023046534126,5.7616335315E-05,0.5762,162,alive,42.63,131.46,88.8259958211146
27BEPA,27BEPAL,2,7,E6,C,BEPA,L,17.72,246.61,2.47,0.00024661434336,6.165358584E-05,0.6165,153,alive,45.70,142.22,96.5230907956076
27BEPA,27BEPAL,2,7,F2,C,BEPA,L,21.44,361.03,3.61,0.00036102764544,9.025691136E-05,0.9026,143,alive,67.58,221.49,153.911773153265
27BEPA,27BEPAL,2,7,F3,C,BEPA,L,16.08,203.08,2.03,0.00020307805056,5.076951264E-05,0.5077,192,alive,37.44,113.48,76.0417331789943
27BEPA,27BEPAL,2,7,F4,C,BEPA,L,24.81,483.44,4.83,0.00048344205294,0.000120860513235,1.2086,348,alive,91.20,310.99,219.791328496117
27BEPA,27BEPAL,2,7,F5,C,BEPA,L,22.61,401.51,4.02,0.00040150598334,0.000100376495835,1.0038,321,alive,75.37,250.61,175.242238159854
27BEPA,27BEPAL,2,7,F6,C,BEPA,L,33.29,870.40,8.70,0.00087039920814,0.000217599802035,2.1760,320,alive,166.79,616.01,449.215901566907
29PIGL,29PIGLL,2,9,B2,C,PIGL,L,35.25,975.91,9.76,0.0009759085875,0.000243977146875,2.4398,162,alive,391.15,768.33,377.177433926298
29PIGL,29PIGLL,2,9,B3,C,PIGL,L,41.21,1333.82,13.34,0.00133381662414,0.000333454156035,3.3345,197,alive,552.12,1113.18,561.062032223038
29PIGL,29PIGLL,2,9,B4,C,PIGL,L,33.4,876.16,8.76,0.000876160824,0.000219040206,2.1904,151,alive,347.28,676.05,328.765202794147
29PIGL,29PIGLL,2,9,B5,C,PIGL,L,32.8,844.96,8.45,0.000844964736,0.000211241184,2.1124,183,alive,333.67,647.58,313.911946935549
29PIGL,29PIGLL,2,9,B6,C,PIGL,L,34.65,942.97,9.43,0.0009429689115,0.000235742227875,2.3574,208,alive,376.61,737.65,361.039631091664
29PIGL,29PIGLL,2,9,C2,C,PIGL,L,29.04,662.34,6.62,0.00066234478464,0.00016558619616,1.6559,149,alive,255.06,485.06,229.996740404956
29PIGL,29PIGLL,2,9,C3,C,PIGL,L,38.71,1176.89,11.77,0.00117689370414,0.000294223426035,2.9422,191,alive,480.91,959.53,478.6188454252
29PIGL,29PIGLL,2,9,C4,C,PIGL,L,26.18,538.31,5.38,0.00053830719096,0.00013457679774,1.3458,133,alive,202.91,379.25,176.343949314751
29PIGL,29PIGLL,2,9,C5,C,PIGL,L,29.25,671.96,6.72,0.0006719587875,0.000167989696875,1.6799,162,alive,259.15,493.42,234.275819411628
29PIGL,29PIGLL,2,9,C6,C,PIGL,L,36.76,1061.31,10.61,0.00106130913504,0.00026532728376,2.6533,194,alive,429.08,848.75,419.67483577425
29PIGL,29PIGLL,2,9,D2,C,PIGL,L,35.07,965.97,9.66,0.00096596730846,0.000241491827115,2.4149,176,alive,386.75,759.05,372.291740163034
29PIGL,29PIGLL,2,9,D3,C,PIGL,L,32.16,812.31,8.12,0.00081231220224,0.00020307805056,2.0308,190,alive,319.47,617.99,298.519349657992
29PIGL,29PIGLL,2,9,D4,C,PIGL,L,30.49,730.14,7.30,0.00073013933454,0.000182534833635,1.8253,133,alive,284.01,544.52,260.513593117036
29PIGL,29PIGLL,2,9,D5,C,PIGL,L,30.91,750.39,7.50,0.00075039322974,0.000187598307435,1.8760,150,alive,292.71,562.50,269.780961576153
29PIGL,29PIGLL,2,9,D6,C,PIGL,L,29.11,665.54,6.66,0.00066554175534,0.000166385438835,1.6639,146,alive,256.42,487.84,231.417849650237
29PIGL,29PIGLL,2,9,E2,C,PIGL,L,31.16,762.58,7.63,0.00076258067424,0.00019064516856,1.9065,127,alive,297.96,573.35,275.389591471481
29PIGL,29PIGLL,2,9,E3,C,PIGL,L,31.76,792.23,7.92,0.00079223109504,0.00019805777376,1.9806,204,alive,310.77,599.90,289.133363989584
29PIGL,29PIGLL,2,9,E4,C,PIGL,L,35.08,966.52,9.67,0.00096651826656,0.00024162956664,2.4163,163,alive,387.00,759.56,372.562168229161
29PIGL,29PIGLL,2,9,E5,C,PIGL,L,35.31,979.23,9.79,0.00097923365694,0.000244808414235,2.4481,186,alive,392.62,771.43,378.814472812951
29PIGL,29PIGLL,2,9,E6,C,PIGL,L,30.04,708.75,7.09,0.00070874621664,0.00017718655416,1.7719,155,alive,274.84,525.64,250.798792717158
29PIGL,29PIGLL,2,9,F2,C,PIGL,L,31.55,781.79,7.82,0.0007817891235,0.000195447280875,1.9545,177,alive,306.25,590.53,284.277433665504
29PIGL,29PIGLL,2,9,F3,C,PIGL,L,34.8,951.15,9.51,0.000951150816,0.000237787704,2.3779,187,alive,380.22,745.25,365.034531188241
29PIGL,29PIGLL,2,9,F4,C,PIGL,L,28.72,647.83,6.48,0.00064782807936,0.00016195701984,1.6196,146,alive,248.90,472.47,223.566900815128
29PIGL,29PIGLL,2,9,F5,C,PIGL,L,32.24,816.36,8.16,0.00081635858304,0.00020408964576,2.0409,183,alive,321.23,621.65,300.418120524674
29PIGL,29PIGLL,2,9,F6,C,PIGL,L,30.48,729.66,7.30,0.00072966047616,0.00018241511904,1.8242,204,alive,283.80,544.10,260.295303316275
212ACSA,212ACSAL,2,12,B2,C,ACSA,L,27.73,603.94,6.04,0.00060393560766,0.000150983901915,1.5098,163,alive,142.86,413.01,270.154235280883
212ACSA,212ACSAL,2,12,B3,C,ACSA,L,16.86,223.26,2.23,0.00022325748984,5.581437246E-05,0.5581,125,alive,45.21,98.82,53.608288948301
212ACSA,212ACSAL,2,12,B4,C,ACSA,L,20.03,315.10,3.15,0.00031510318686,7.8775796715E-05,0.7878,135,alive,67.33,162.14,94.8095478077681
212ACSA,212ACSAL,2,12,B5,C,ACSA,L,27.1,576.81,5.77,0.000576805614,0.0001442014035,1.4420,130,alive,135.46,386.61,251.146989486931
212ACSA,212ACSAL,2,12,B6,C,ACSA,L,13.31,139.14,1.39,0.00013913840094,3.4784600235E-05,0.3478,120,alive,26.17,50.08,23.9140708599417
212ACSA,212ACSAL,2,12,C2,C,ACSA,L,21.57,365.42,3.65,0.00036541905246,9.1354763115E-05,0.9135,162,alive,79.91,200.62,120.702636299536
212ACSA,212ACSAL,2,12,C3,C,ACSA,L,14.59,167.19,1.67,0.00016718660574,4.1796651435E-05,0.4180,115,alive,32.36,65.21,32.8506250330517
212ACSA,212ACSAL,2,12,C4,C,ACSA,L,18.18,259.58,2.60,0.00025958443896,6.489610974E-05,0.6490,135,alive,53.82,122.72,68.9065171786123
212ACSA,212ACSAL,2,12,C5,C,ACSA,L,28.01,616.19,6.16,0.00061619350254,0.000154048375635,1.5405,142,alive,146.22,425.11,278.897481256841
212ACSA,212ACSAL,2,12,C6,C,ACSA,L,16.37,210.47,2.10,0.00021046905726,5.2617264315E-05,0.5262,125,alive,42.23,90.78,48.5567258328281
212ACSA,212ACSAL,2,12,D2,C,ACSA,L,23.61,437.81,4.38,0.00043780717134,0.000109451792835,1.0945,160,alive,98.49,260.12,161.634741125186
212ACSA,212ACSAL,2,12,D3,C,ACSA,L,35.55,992.59,9.93,0.0009925904835,0.000248147620875,2.4815,195,alive,253.74,843.49,589.752361823684
212ACSA,212ACSAL,2,12,D4,C,ACSA,L,26.5,551.55,5.52,0.00055154715,0.0001378867875,1.3789,167,alive,128.63,362.51,233.885181753154
212ACSA,212ACSAL,2,12,D5,C,ACSA,L,23.49,433.37,4.33,0.00043336809054,0.000108342022635,1.0834,165,alive,97.33,256.34,159.006254603059
212ACSA,212ACSAL,2,12,D6,C,ACSA,L,21.83,374.28,3.74,0.00037428150606,9.3570376515E-05,0.9357,163,alive,82.16,207.65,125.487176830093
212ACSA,212ACSAL,2,12,E2,C,ACSA,L,24.23,461.10,4.61,0.00046110276366,0.000115275690915,1.1528,142,alive,104.57,280.24,175.67228919705
212ACSA,212ACSAL,2,12,E3,C,ACSA,L,29.9,702.16,7.02,0.000702155454,0.0001755388635,1.7554,194,alive,170.05,512.88,342.834381803907
212ACSA,212ACSAL,2,12,E4,C,ACSA,L,26.35,545.32,5.45,0.0005453208915,0.000136330222875,1.3633,172,alive,126.95,356.65,229.695626906618
212ACSA,212ACSAL,2,12,E5,C,ACSA,L,27.86,609.61,6.10,0.00060961145784,0.00015240286446,1.5240,155,alive,144.41,418.60,274.190768741997
212ACSA,212ACSAL,2,12,E6,C,ACSA,L,22.14,384.99,3.85,0.00038498705784,9.624676446E-05,0.9625,150,alive,84.88,216.23,131.353134097423
212ACSA,212ACSAL,2,12,F2,C,ACSA,L,23.68,440.41,4.40,0.00044040708096,0.00011010177024,1.1010,135,alive,99.16,262.34,163.181168926872
212ACSA,212ACSAL,2,12,F3,C,ACSA,L,24.23,461.10,4.61,0.00046110276366,0.000115275690915,1.1528,162,alive,104.57,280.24,175.67228919705
212ACSA,212ACSAL,2,12,F4,C,ACSA,L,23.64,438.92,4.39,0.00043892047584,0.00010973011896,1.0973,175,alive,98.78,261.07,162.296307392216
212ACSA,212ACSAL,2,12,F5,C,ACSA,L,21.2,352.99,3.53,0.000352990176,8.8247544E-05,0.8825,125,alive,76.78,190.88,114.10350630989
212ACSA,212ACSAL,2,12,F6,C,ACSA,L,28.86,654.16,6.54,0.00065415934584,0.00016353983646,1.6354,152,alive,156.68,463.26,306.577613485206
214PIST,214PISTL,2,14,B2,C,PIST,L,35.97,1016.18,10.16,0.00101618264286,0.000254045660715,2.5405,143,alive,228.82,449.24,220.420508798727
214PIST,214PISTL,2,14,B3,C,PIST,L,38.73,1178.11,11.78,0.00117811013166,0.000294527532915,2.9453,203,alive,271.16,541.39,270.227302225307
214PIST,214PISTL,2,14,B4,C,PIST,L,40.15,1266.08,12.66,0.0012660824715,0.000316520617875,3.1652,204,alive,294.53,592.89,298.354611691478
214PIST,214PISTL,2,14,B5,C,PIST,L,38.6,1170.21,11.70,0.001170214584,0.000292553646,2.9255,186,alive,269.07,536.81,267.738505388499
214PIST,214PISTL,2,14,B6,C,PIST,L,55.31,2402.69,24.03,0.00240269261694,0.000600673154235,6.0067,242,alive,614.58,1330.61,716.032251046845
214PIST,214PISTL,2,14,C2,C,PIST,L,45.16,1601.76,16.02,0.00160176486624,0.00040044121656,4.0044,215,alive,385.83,797.72,411.885399414491
214PIST,214PISTL,2,14,C3,C,PIST,L,34.61,940.79,9.41,0.00094079303934,0.000235198259835,2.3520,200,alive,209.44,407.61,198.163069316746
214PIST,214PISTL,2,14,C4,C,PIST,L,52.44,2159.81,21.60,0.00215981355744,0.00053995338936,5.3995,229,alive,543.80,1163.19,619.392511687925
214PIST,214PISTL,2,14,C5,C,PIST,L,32.7,839.82,8.40,0.000839820366,0.0002099550915,2.0996,177,alive,183.85,353.20,169.356208906025
214PIST,214PISTL,2,14,C6,C,PIST,L,48.13,1819.38,18.19,0.00181937666526,0.000454844166315,4.5484,235,alive,446.60,936.82,490.224425250245
214PIST,214PISTL,2,14,D2,C,PIST,L,35.76,1004.35,10.04,0.00100435192704,0.00025108798176,2.5109,187,alive,225.77,442.66,216.887011328429
214PIST,214PISTL,2,14,D3,C,PIST,L,45.04,1593.26,15.93,0.00159326369664,0.00039831592416,3.9832,244,alive,383.48,792.38,408.897027020442
214PIST,214PISTL,2,14,D4,C,PIST,L,45.69,1639.58,16.40,0.00163958226894,0.000409895567235,4.0990,230,alive,396.31,821.55,425.246431209437
214PIST,214PISTL,2,14,D5,C,PIST,L,42.51,1419.30,14.19,0.00141929641854,0.000354824104635,3.5482,198,alive,335.81,684.81,349.003383893604
214PIST,214PISTL,2,14,D6,C,PIST,L,23.93,449.76,4.50,0.00044975530446,0.000112438826115,1.1244,116,alive,89.76,160.62,70.8650268118218
214PIST,214PISTL,2,14,E2,C,PIST,L,57.1,2560.73,25.61,0.002560726014,0.0006401815035,6.4018,260,alive,661.21,1441.98,780.767845926001
214PIST,214PISTL,2,14,E3,C,PIST,L,34.94,958.82,9.59,0.00095881914744,0.00023970478686,2.3970,145,alive,214.06,417.49,203.428395828459
214PIST,214PISTL,2,14,E4,C,PIST,L,42.09,1391.39,13.91,0.00139138958574,0.000347847396435,3.4785,223,alive,328.24,667.87,339.626687555214
214PIST,214PISTL,2,14,E5,C,PIST,L,37.15,1083.95,10.84,0.0010839482115,0.000270987052875,2.7099,163,alive,246.43,487.37,240.942566050234
214PIST,214PISTL,2,14,E6,C,PIST,L,46.58,1704.08,17.04,0.00170407955256,0.00042601988814,4.2602,230,alive,414.26,862.54,448.283038211212
214PIST,214PISTL,2,14,F2,C,PIST,L,35.92,1013.36,10.13,0.00101335952256,0.00025333988064,2.5334,204,alive,228.09,447.67,219.575970500198
214PIST,214PISTL,2,14,F3,C,PIST,L,48.78,1868.85,18.69,0.00186885018936,0.00046721254734,4.6721,224,alive,460.57,969.08,508.511382519941
214PIST,214PISTL,2,14,F4,C,PIST,L,27.67,601.32,6.01,0.00060132493806,0.000150331234515,1.5033,142,alive,125.28,231.72,106.438090132322
214PIST,214PISTL,2,14,F5,C,PIST,L,46.64,1708.47,17.08,0.00170847245184,0.00042711811296,4.2712,217,alive,415.48,865.35,449.863327978057
214PIST,214PISTL,2,14,F6,C,PIST,L,0,0.00,0.00,0,0,0.0000,0,dead,0.00,0.00,0
33LALA,33LALAL,3,3,B2,C,LALA,L,33.9,902.59,9.03,0.000902589534,0.0002256473835,2.2565,329,alive,152.98,481.89,328.912109717659
33LALA,33LALAL,3,3,B3,C,LALA,L,31.37,772.89,7.73,0.00077289399726,0.000193223499315,1.9322,368,alive,129.21,390.19,260.983677549899
33LALA,33LALAL,3,3,B4,C,LALA,L,31.03,756.23,7.56,0.00075623095086,0.000189057737715,1.8906,371,alive,126.18,378.79,252.611494779403
33LALA,33LALAL,3,3,B5,C,LALA,L,33.19,865.18,8.65,0.00086517786894,0.000216294467235,2.1629,345,alive,146.09,454.92,308.828506387086
33LALA,33LALAL,3,3,B6,C,LALA,L,36.71,1058.42,10.58,0.00105842396814,0.000264605992035,2.6461,406,alive,181.95,598.51,416.563443617334
33LALA,33LALAL,3,3,C2,C,LALA,L,39.74,1240.36,12.40,0.00124035677304,0.00031008919326,3.1009,365,alive,216.25,742.70,526.447306351673
33LALA,33LALAL,3,3,C3,C,LALA,L,32,804.25,8.04,0.0008042496,0.0002010624,2.0106,349,alive,134.93,411.89,276.962771493093
33LALA,33LALAL,3,3,C4,C,LALA,L,37.89,1127.56,11.28,0.00112756115934,0.000281890289835,2.8189,351,alive,194.93,652.33,457.40352959548
33LALA,33LALAL,3,3,C5,C,LALA,L,33.43,877.74,8.78,0.00087773547246,0.000219433868115,2.1943,373,alive,148.40,463.93,315.526670472605
33LALA,33LALAL,3,3,C6,C,LALA,L,39.47,1223.56,12.24,0.00122355965886,0.000305889914715,3.0589,377,alive,213.06,729.05,515.981393423375
33LALA,33LALAL,3,3,D2,C,LALA,L,34.03,909.53,9.10,0.00090952532286,0.000227381330715,2.2738,339,alive,154.26,486.94,332.677593313311
33LALA,33LALAL,3,3,D3,C,LALA,L,29.41,679.33,6.79,0.00067933023774,0.000169832559435,1.6983,341,alive,112.27,327.36,215.085290432162
33LALA,33LALAL,3,3,D4,C,LALA,L,28.55,640.18,6.40,0.0006401815035,0.000160045375875,1.6005,241,alive,105.25,301.96,196.711058215585
33LALA,33LALAL,3,3,D5,C,LALA,L,38.15,1143.09,11.43,0.0011430888315,0.000285772207875,2.8577,355,alive,197.85,664.59,466.733286726413
33LALA,33LALAL,3,3,D6,C,LALA,L,46.23,1678.57,16.79,0.00167856701166,0.000419641752915,4.1964,379,alive,300.62,1121.00,820.37638050241
33LALA,33LALAL,3,3,E2,C,LALA,L,28.18,623.70,6.24,0.00062369587896,0.00015592396974,1.5592,328,alive,102.30,291.43,189.127006370891
33LALA,33LALAL,3,3,E3,C,LALA,L,39.14,1203.19,12.03,0.00120318536184,0.00030079634046,3.0080,378,alive,209.20,712.58,503.371980690955
33LALA,33LALAL,3,3,E4,C,LALA,L,34.08,912.20,9.12,0.00091220000256,0.00022805000064,2.2805,382?,alive,154.76,488.89,334.133179276797
33LALA,33LALAL,3,3,E5,C,LALA,L,24.92,487.74,4.88,0.00048773842656,0.00012193460664,1.2193,313,alive,78.27,208.55,130.283051003437
33LALA,33LALAL,3,3,E6,C,LALA,L,37.45,1101.53,11.02,0.0011015254635,0.000275381365875,2.7538,361,alive,190.03,631.92,441.888565542871
33LALA,33LALAL,3,3,F2,C,LALA,L,36.92,1070.57,10.71,0.00107056805856,0.00026764201464,2.6764,344,alive,184.23,607.88,423.653085792162
33LALA,33LALAL,3,3,F3,C,LALA,L,30.41,726.31,7.26,0.00072631286574,0.000181578216435,1.8158,334,alive,120.75,358.54,237.791934958829
33LALA,33LALAL,3,3,F4,C,LALA,L,32.81,845.48,8.45,0.00084548003694,0.000211370009235,2.1137,334,alive,142.47,440.88,298.410715840721
33LALA,33LALAL,3,3,F5,C,LALA,L,37.86,1125.78,11.26,0.00112577633784,0.00028144408446,2.8144,380,alive,194.59,650.93,456.334777828861
33LALA,33LALAL,3,3,F6,C,LALA,L,34.56,938.08,9.38,0.00093807673344,0.00023451918336,2.3452,331,alive,159.54,507.86,348.314920521304
37BEPA,37BEPAL,3,7,B2,C,BEPA,L,24.05,454.28,4.54,0.0004542773235,0.000113569330875,1.1357,222,alive,85.56,289.30,203.736374873962
37BEPA,37BEPAL,3,7,B3,C,BEPA,L,29.13,666.46,6.66,0.00066645658926,0.000166614147315,1.6661,315,alive,126.81,451.66,324.85689520745
37BEPA,37BEPAL,3,7,B4,C,BEPA,L,23.94,450.13,4.50,0.00045013127544,0.00011253281886,1.1253,289,alive,84.76,286.23,201.47123457957
37BEPA,37BEPAL,3,7,B5,C,BEPA,L,35.15,970.38,9.70,0.0009703793715,0.000242594842875,2.4259,362,alive,186.49,699.00,512.508631806874
37BEPA,37BEPAL,3,7,B6,C,BEPA,L,44.35,1544.82,15.45,0.0015448209315,0.000386205232875,3.8621,359,alive,300.58,1200.04,899.461979441959
37BEPA,37BEPAL,3,7,C2,C,BEPA,L,31.9,799.23,7.99,0.000799230894,0.0001998077235,1.9981,328,alive,152.81,557.86,405.053372453585
37BEPA,37BEPAL,3,7,C3,C,BEPA,L,25.68,517.94,5.18,0.00051794176896,0.00012948544224,1.2949,290,alive,97.89,336.94,239.046549123397
37BEPA,37BEPAL,3,7,C4,C,BEPA,L,18.86,279.37,2.79,0.00027936646584,6.984161646E-05,0.6984,155,alive,51.94,164.41,112.464928791797
37BEPA,37BEPAL,3,7,C5,C,BEPA,L,24.03,453.52,4.54,0.00045352208286,0.000113380520715,1.1338,260,alive,85.41,288.74,203.323433613655
37BEPA,37BEPAL,3,7,C6,C,BEPA,L,30.69,739.75,7.40,0.00073974948894,0.000184937372235,1.8494,304,alive,141.14,509.90,368.756014681151
37BEPA,37BEPAL,3,7,D2,C,BEPA,L,26.51,551.96,5.52,0.00055196349054,0.000137990872635,1.3799,262,alive,104.50,362.80,258.299855641612
37BEPA,37BEPAL,3,7,D3,C,BEPA,L,22.59,400.80,4.01,0.00040079598174,0.000100198995435,1.0020,232,alive,75.24,250.10,174.864016122137
37BEPA,37BEPAL,3,7,D4,C,BEPA,L,27.66,600.89,6.01,0.00060089037624,0.00015022259406,1.5022,327,alive,114.02,400.44,286.422227081285
37BEPA,37BEPAL,3,7,D5,C,BEPA,L,21,346.36,3.46,0.0003463614,8.659035E-05,0.8659,264,alive,64.77,211.07,146.304887154277
37BEPA,37BEPAL,3,7,D6,C,BEPA,L,33.43,877.74,8.78,0.00087773547246,0.000219433868115,2.1943,265,alive,168.24,622.05,453.811672624222
37BEPA,37BEPAL,3,7,E2,C,BEPA,L,26.67,558.65,5.59,0.00055864630206,0.000139661575515,1.3966,278,alive,105.80,367.91,262.11144430578
